IP,isBad
13.59.205.66,True
54.193.127.66,True
54.215.192.52,True
34.203.203.23,True
139.99.115.204,True
5.252.177.25,True
5.252.177.21,True
204.188.205.176,True
51.89.125.18,True
167.114.213.199,True
3.101.88.204,True
8.18.144.1,True
8.18.144.10,True
8.18.144.106,True
8.18.144.107,True
8.18.144.11,True
8.18.144.112,True
8.18.144.128,True
8.18.144.129,True
8.18.144.130,True
8.18.144.131,True
8.18.144.136,True
8.18.144.137,True
8.18.144.138,True
8.18.144.139,True
8.18.144.149,True
8.18.144.157,True
8.18.144.159,True
8.18.144.160,True
8.18.144.161,True
8.18.144.162,True
8.18.144.163,True
8.18.144.168,True
8.18.144.169,True
8.18.144.170,True
8.18.144.171,True
8.18.144.180,True
8.18.144.182,True
8.18.144.188,True
8.18.144.190,True
8.18.144.193,True
8.18.144.2,True
8.18.144.225,True
8.18.144.234,True
8.18.144.235,True
8.18.144.240,True
8.18.144.28,True
8.18.144.3,True
8.18.144.30,True
8.18.144.32,True
8.18.144.33,True
8.18.144.34,True
8.18.144.35,True
8.18.144.40,True
8.18.144.41,True
8.18.144.42,True
8.18.144.43,True
8.18.144.53,True
8.18.144.54,True
8.18.144.62,True
8.18.144.63,True
8.18.144.64,True
8.18.144.65,True
8.18.144.74,True
8.18.144.8,True
8.18.144.9,True
8.18.144.96,True
8.18.144.97,True
8.18.144.99,True
8.18.145.1,True
8.18.145.10,True
8.18.145.106,True
8.18.145.107,True
8.18.145.11,True
8.18.145.128,True
8.18.145.129,True
8.18.145.130,True
8.18.145.131,True
8.18.145.136,True
8.18.145.137,True
8.18.145.138,True
8.18.145.139,True
8.18.145.148,True
8.18.145.151,True
8.18.145.156,True
8.18.145.158,True
8.18.145.159,True
8.18.145.160,True
8.18.145.161,True
8.18.145.162,True
8.18.145.163,True
8.18.145.168,True
8.18.145.169,True
8.18.145.170,True
8.18.145.171,True
8.18.145.182,True
8.18.145.188,True
8.18.145.189,True
8.18.145.190,True
8.18.145.191,True
8.18.145.192,True
8.18.145.193,True
8.18.145.2,True
8.18.145.20,True
8.18.145.200,True
8.18.145.201,True
8.18.145.217,True
8.18.145.22,True
8.18.145.223,True
8.18.145.23,True
8.18.145.240,True
8.18.145.28,True
8.18.145.32,True
8.18.145.33,True
8.18.145.34,True
8.18.145.35,True
8.18.145.40,True
8.18.145.41,True
8.18.145.42,True
8.18.145.43,True
8.18.145.52,True
8.18.145.53,True
8.18.145.55,True
8.18.145.66,True
8.18.145.75,True
8.18.145.8,True
8.18.145.81,True
8.18.145.9,True
8.18.145.98,True
13.56.226.124,True
13.65.251.83,True
13.84.134.105,True
13.90.103.231,True
13.92.233.22,True
18.130.193.22,True
20.140.0.185,True
20.140.0.81,True
20.140.100.139,True
